person_id,name,license_id,address_street_number,address_street_name,ssn
454286,Yasir Malik,281432,3086,"Saddar Bazaar, Rawalpindi",143127196
490737,Shazia Masih,353803,4875,"College Road, Rawalpindi",756516198
209590,Safdar Ali,321362,3829,"Gulshan-e-Ravi, Lahore",479038404
196538,Mazhar Hussain,662417,1304,"Committee Chowk, Rawalpindi",901419495
541190,Shabnam Akhtar,573532,1131,"Saddar Bazaar, Rawalpindi",967694038
751137,Arif Masih,614885,4444,"F-10 Markaz, Islamabad",222464029
657875,Mazhar Hussain,908706,1926,"The Mall, Lahore",132952397
990463,Imran Khan,870807,3616,"Anarkali Bazaar, Lahore",958040047
205019,Sanam Akhtar,641569,3377,"Gulshan-e-Ravi, Lahore",146551420
272601,Alia khan,433382,4736,"Raja Bazaar, Rawalpindi",160048319
184448,Ali Haider,171424,3964,"Murree Road, Saddar, Rawalpindi",480409449
814542,Mehak Chitrali,288579,1960,"Peshawar Road, Rawalpindi",744785922
440100,Samina Yousaf,375280,2954,"M. M. Alam Road, Lahore",297588385
958559,Abdul Qadir,901931,2583,"Shah Alam Market, Lahore",938533154
137236,Chand Bibi,334595,3398,"G-8 Markaz, Islamabad",755906924
757572,Anwar Shah,479216,3432,"Satellite Town, Rawalpindi",544803802
149351,Naeem James,223698,3731,"G-9 Markaz, Islamabad",929252518
257998,Meera Devi,351718,4824,"Saddar Bazaar, Rawalpindi",138246401
186244,Farida Begum,643162,4218,"Saddar Bazaar, Rawalpindi",587395713
904470,Rajesh Kumar,629538,1923,"Anarkali Bazaar, Lahore",376661115
804873,Rukhsar Bibi,566257,3492,"Saddar Bazaar, Rawalpindi",139093883
118971,Mehak Chitrali,152478,966,"Satellite Town, Rawalpindi",438720716
367866,Iqbal Khan,616391,1798,"Satellite Town, Rawalpindi",310581500
225614,Samina Yousaf,709059,2764,"G-8 Markaz, Islamabad",776005065
374561,Parveen Akhtar,282435,2076,"Chandni Chowk, Rawalpindi",253840300
217718,Sara Khan,443494,3232,"Raja Bazaar, Rawalpindi",688195090
727989,Mehak Chitrali,245401,4329,"Anarkali Bazaar, Lahore",509549012
744770,Farah Naz,207684,3198,"M. M. Alam Road, Lahore",928103026
205595,Yasir Malik,661560,3032,"Committee Chowk, Rawalpindi",568111662
840188,Anwar Shah,171914,2407,"Liberty Market, Lahore",146081829
829190,Iqbal Khan,565260,1596,"Chandni Chowk, Rawalpindi",310006472
506023,Bushra Bano,591736,2858,"The Mall, Lahore",732761260
733453,Nighat Awan,699930,3813,"G-8 Markaz, Islamabad",171791058
515132,Fatima Javed,649138,1922,"Iqbal Avenue, Islamabad",595570017
885461,Naeem James,102779,4437,"Committee Chowk, Rawalpindi",385919502
315283,Rajesh Kumar,979388,2283,"DHA, Lahore",952748331
828601,Shabnam Akhtar,391126,4452,"F-10 Markaz, Islamabad",817105347
410910,Mohammad Rafique,748654,1373,"Satellite Town, Rawalpindi",882227415
301682,Mohammad Rafique,673864,1279,"Committee Chowk, Rawalpindi",152902255
727729,Farida Begum,225704,2569,"Committee Chowk, Rawalpindi",969603147
902030,Sonia Peter,927192,1290,"Bahria Town, Rawalpindi",965628337
111783,Sonia Peter,859408,2309,"F-7 Markaz, Islamabad",246280414
424446,Fatima Javed,680215,1507,"Saddar Bazaar, Rawalpindi",412455310
189027,Sanam Akhtar,924788,3762,"Iqbal Avenue, Islamabad",646586340
965591,Zahra Baig,193288,4309,"F-6 Markaz, Islamabad",372704822
183678,Farida Begum,977641,4540,"Murree Road, Saddar, Rawalpindi",281191501
455863,Rajesh Kumar,434107,1375,"Fazal-e-Haq Road, Blue Area, Islamabad",879988225
215133,Sara Khan,381947,3707,"Peshawar Road, Rawalpindi",677538082
583343,Sonia Peter,656533,4415,"Murree Road, Saddar, Rawalpindi",712203483
724297,Farah Naz,167115,1275,"Chandni Chowk, Rawalpindi",569221333
742610,Ayesha Bibi,222165,3122,"Satellite Town, Rawalpindi",276536998
613259,Naeem James,782319,2262,"M. M. Alam Road, Lahore",582533952
356138,Nida Fatima,920882,3938,"DHA, Lahore",718042583
867928,Mirza Numan baig,842728,2046,"College Road, Rawalpindi",215853462
628780,Zahra Baig,704263,2950,"Fazal-e-Haq Road, Blue Area, Islamabad",189184252
804784,Ayesha Bibi,984059,1715,"College Road, Rawalpindi",796484380
353215,Vikram Singh,144257,1017,"F-7 Markaz, Islamabad",920591697
781407,Chand Bibi,935746,3122,"Gulberg, Lahore",729275950
452946,Nida Fatima,732082,3076,"Satellite Town, Rawalpindi",708412824
709910,Nighat Awan,293983,3846,"F-10 Markaz, Islamabad",785202374
541803,Muhammad Aslam,991554,1675,"College Road, Rawalpindi",185838442
344455,Iqbal Khan,980235,3792,"College Road, Rawalpindi",868555815
877417,Nighat Awan,863355,3005,"F-7 Markaz, Islamabad",931970971
993337,Parveen Akhtar,941458,4590,"Anarkali Bazaar, Lahore",114967851
268548,Muhammad Aslam,327737,1148,"The Mall, Lahore",923119228
854939,Jamaluddin Khan,419749,2545,"G-9 Markaz, Islamabad",114708889
560764,Bushra Bano,542447,3553,"Iqbal Avenue, Islamabad",684300130
850462,Mehak Chitrali,952384,3263,"Fazal-e-Haq Road, Blue Area, Islamabad",796245973
615057,Samina Yousaf,238903,2052,"Shah Alam Market, Lahore",713248002
937625,Rajesh Kumar,570911,2155,"Iqbal Avenue, Islamabad",602558113
923501,Anwar Shah,515695,2403,"M. M. Alam Road, Lahore",638173817
834372,Shazia Masih,239247,1075,"Gulshan-e-Ravi, Lahore",419970752
