ssn,annual_income
143127196,35596
756516198,56854
479038404,31589
901419495,57186
967694038,5559886
222464029,59671
132952397,26759
958040047,59941
146551420,32940
160048319,33255
480409449,54837
744785922,36815
297588385,49655
938533154,24026
755906924,31209
544803802,37937
929252518,53288
138246401,64669
587395713,36655
376661115,23384
139093883,37988
438720716,53585
310581500,61385
776005065,46055
253840300,58619
688195090,64898
509549012,28896
928103026,58154
568111662,25780
146081829,36679
310006472,55768
732761260,51100
171791058,40245
595570017,28937
385919502,35455
952748331,34680
817105347,37473
882227415,46866
152902255,45961
969603147,38810
965628337,54638
246280414,60666
412455310,30640
646586340,60199
372704822,52495
281191501,23115
879988225,62615
677538082,39696
712203483,40602
569221333,55872
276536998,43141
582533952,26992
718042583,28767
215853462,54232
189184252,54888
796484380,56727
920591697,42189
729275950,24854
708412824,63416
785202374,38916
185838442,37570
868555815,48630
931970971,57171
114967851,41928
923119228,63517
114708889,29585
684300130,61112
796245973,60017
713248002,23781
602558113,26331
638173817,49530
419970752,33691
823037262,62378
488091051,38203
240918722,34845
705684074,30921
514490853,33277
315967701,25816
941437062,51092
984824143,61360
627358118,37310
794896490,58309
186221640,28421
649586402,65451
912273887,22014
384787991,40083
402652826,57326
708033854,46401
518369573,33514
748911959,29322
116089202,59362
999512404,22612
894025222,65078
126724620,32051
153611444,54946
340931089,35218
242342586,45783
738600083,46900
871751693,58301
294095664,63934
